"ID"	"EGLM_7b_t00_comp_Completion"	"EGLM_7b_t00_comp_Antecedens"	"EGLM_7b_t02_comp_Completion"	"EGLM_7b_t02_comp_Antecedens"	"EGLM_7b_t05_comp_Completion"	"EGLM_7b_t05_comp_Antecedens"	"EMG_70b_t00_comp_Completion"	"EMG_70b_t00_comp_Antecedens"	"EMG_70b_t05_comp_Completion"	"EMG_70b_t05_comp_Antecedens"	"GPT4_t05_comp_Completion"	"GPT4_t05_comp_Antecedens"	"SKLM_7b_t00_comp_Completion"	"SKLM_7b_t00_comp_Antecedens"	"SKLM_7b_t02_comp_Completion"	"SKLM_7b_t02_comp_Antecedens"	"SKLM_7b_t05_comp_Completion"	"SKLM_7b_t05_comp_Antecedens"
"402"	"ID_100402"	"einen neuen Film gedreht."	"Star"	"einen neuen Film gedreht und will nicht, dass die Presse davon erfährt."	"Film"	"einen Termin bei der Königin."	"Star"	"Den Star will der Bodyguard verstecken. Der hat Angst vor Paparazzi."	"Bodyguard"	"Der hat einen Stalker."	"Star"	"Der hat Drohbriefe von einem besessenen Fan erhalten."	"Star"	"Der hat einen Anruf erhalten."	"Bodyguard"	"Der hat einen Anruf erhalten."	"Bodyguard"	"Der hat zu viele Fans und es gibt immer die Gefahr von Störungen."	"Bodyguard"
"403"	"ID_100403"	"einen neuen Film gedreht."	"Star"	"einen neuen Film gedreht."	"Star"	"Einen neuen Film gedreht."	"Star"	"Den Star will der Bodyguard verstecken. Der hat Angst vor Paparazzi."	"Bodyguard"	"Der hat jetzt keine Ruhe mehr."	"Star"	"Der hat Drohbriefe von einem besessenen Fan erhalten."	"Star"	"Der hat einen Anruf erhalten."	"Bodyguard"	"Der hat eine Bedrohung erhalten."	"Bodyguard"	"Der hat einen Schuss erhalten."	"Bodyguard"
"404"	"ID_100404"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich den Fuß gebrochen."	"Opa"	"Der hat sich beim Fußballspielen mit den Enkeln verletzt."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Wasserhahn zu öffnen."	"Pfleger"	"Der hat sich schon seit Wochen auf diesen Moment gefreut, weil er das warme Wasser liebt."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat sich nicht mehr selbst baden können."	"Opa"	"Der hat schon heute baden."	"Pfleger"
"405"	"ID_100405"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"einen schlimmen Ausschlag."	"Opa"	"Der hat sich beim Fahrradfahren den Arm gebrochen."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Der hat heute Geburtstag."	"Opa"	"Der hat sich jedoch verletzt und kann heute nicht zur Arbeit kommen."	"Pfleger"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat eine schwere Krankheit."	"Opa"	"Der hat seine Haare schneiden lassen."	"Pfleger"
"406"	"ID_100406"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich beim Fußballspielen den Knöchel verstaucht."	"Opa"	"Der hat sich beim Joggen das Bein gebrochen."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Der hat heute Geburtstag."	"Opa"	"Der hat jedoch Angst vor dem Wasser."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat sich nicht mehr selbst baden können."	"Opa"	"Der hat nicht gerne in kalten Gewässern baden."	"Opa"
"407"	"ID_100407"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich beim Klettern verletzt."	"Opa"	"Der hat sich beim Klettern auf den Baum verletzt."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Der hat vergessen, den Hahn zu drehen."	"Opa"	"Der hat seit Tagen darauf bestanden, seine Unabhängigkeit zu bewahren."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat sich bereits gewaschen."	"Opa"
"408"	"ID_100408"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich den Fuß gebrochen."	"Opa"	"Der hat sich den Fuß gebrochen."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Den Opa soll der Pfleger baden. Der hat sich in den Rollstuhl verkeilt."	"Pfleger"	"Der hat sich beim letzten Mal gegen das Baden gewehrt."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat Schwierigkeiten beim Gehen."	"Opa"	"Der hat eine Krüppelheit."	"Opa"
"409"	"ID_100409"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich den Fuß gebrochen."	"Opa"	"Der hat sich den Fuß verstaucht."	"Opa"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Der hat eine Badewanne."	"Opa"	"Der hat jedoch Angst vor dem Wasser."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu waschen."	"Opa"	"Der hat den Opa schon gestern baden lassen."	"Pfleger"
"410"	"ID_100410"	"Der hat sich beim Fußballspielen verletzt."	"Opa"	"Der hat sich beim Rasenmähen den Fuß verletzt."	"Opa"	"Den hat der Hund gebissen."	"Hund"	"Den Opa soll der Pfleger baden. Der hat vergessen, den Herd auszumachen."	"Pfleger"	"Der hat Angst vor Wasser."	"Opa"	"Der hat jedoch große Angst vor Wasser."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"	"Der hat eine schwere Krankheit."	"Opa"	"Der hat Schwierigkeiten, sich selbst zu bewegen."	"Opa"
"411"	"ID_100411"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein wichtiges Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Trainer"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat das entscheidende Tor im Finale geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat den Spieler des Spiels zum besten gewählt."	"Trainer"
"412"	"ID_100412"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat sich besonders im Training engagiert."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat das entscheidende Tor im Finale geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat ein Spiel gewonnen."	"Trainer"
"413"	"ID_100413"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat sich besonders im Training engagiert."	"Sieger"	"Der hat im Finale gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat das entscheidende Tor im Finale geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat ein Spiel gewonnen."	"Trainer"
"414"	"ID_100414"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat im entscheidenden Spiel das Siegtor geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat den Spieler mit einem Preis ausgezeichnet."	"Trainer"
"415"	"ID_100415"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein ganzes Jahr hart trainiert."	"Sieger"	"Der hat das ganze Jahr hart trainiert."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat das entscheidende Tor im Finale geschossen."	"Satz"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"
"416"	"ID_100416"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat das Finale gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Der hat das entscheidende Tor im Finale geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat sich im Laufe des Wettbewerbs ausgezeichnet."	"Trainer"
"417"	"ID_100417"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Der hat ein Spiel gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat das Rennen gewonnen."	"Sieger"	"Den Sieger will der Trainer ehren. Der hat hart trainiert."	"Sieger"	"Der hat im entscheidenden Spiel das Siegtor geschossen."	"Sieger"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"	"Der hat das Spiel gewonnen."	"Trainer"
"418"	"ID_100418"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat sich in einem anderen Büro verirrt."	"Vorgesetzten"	"Der hat sich in einem der Büros versteckt."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat den Vorgesetzten nicht gesehen."	"Assistenten"	"Der hat wichtige Unterlagen, die sofort benötigt werden."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat eine wichtige Aufgabe erhalten."	"Vorgesetzte"	"Der hat den Schlüssel vergessen."	"Assistenten"
"419"	"ID_100419"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat den Raum verlassen."	"Vorgesetzten"	"Der hat sich im Büro verspätet."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Den Assistenten will der Vorgesetzte suchen. Der hat das Büro verlassen."	"Vorgesetzten"	"Der hat die wichtigen Unterlagen für die Besprechung."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag."	"Vorgesetzten"	"Der hat sich in der Küche verlaufen."	"Vorgesetzten"
"420"	"ID_100420"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat den Raum verlassen."	"Vorgesetzten"	"Der hat die Daten vergessen."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat den Tag verschlafen."	"Vorgesetzten"	"Der hat wichtige Unterlagen, die sofort benötigt werden."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat eine wichtige Aufgabe erhalten."	"Vorgesetzten"	"Der hat die Informationen für den Bericht benötigt."	"Vorgesetzte"
"421"	"ID_100421"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat sich im Büro verspätet."	"Vorgesetzten"	"Der hat sich im Büro verspätet."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat die Schlüssel vergessen."	"Assistenten"	"Der hat wichtige Unterlagen, die sofort benötigt werden."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat eine Frage gestellt."	"Vorgesetzten"
"422"	"ID_100422"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat sich verirrt."	"Vorgesetzten"	"Der hat einen wichtigen Termin vergessen."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat die wichtigen Unterlagen für das Meeting verlegt."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Bericht abgegeben."	"Vorgesetzte"
"423"	"ID_100423"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat sich in der Kantine verirrt."	"Vorgesetzten"	"Der hat einen wichtigen Termin vergessen."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Der hat das Büro verlassen."	"Assistenten"	"Der hat wichtige Unterlagen für das bevorstehende Meeting."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag für ihn."	"Vorgesetzten"	"Der hat Probleme mit dem Computer."	"Vorgesetzten"
"424"	"ID_100424"	"Der hat sich im Büro eingeschlossen."	"Vorgesetzten"	"Der hat sich im Büro eingeschlossen."	"Assistenten"	"einen wichtigen Termin vergessen."	"Vorgesetzten"	"Der hat den Vorgesetzten nicht gefunden."	"Assistenten"	"Den Assistenten will der Vorgesetzte suchen. Der hat gestern seine Arbeitsstelle verlassen."	"Vorgesetzte"	"Der hat die wichtigen Unterlagen für das Meeting."	"Assistenten"	"Der hat einen wichtigen Auftrag erhalten."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag."	"Vorgesetzten"	"Der hat einen wichtigen Auftrag für ihn."	"Vorgesetzte"
"425"	"ID_100425"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"eine Matheaufgabe gelöst, die keiner der anderen Schüler verstanden hat."	"Klassensprecher"	"Die Klassenkameraden immer dazu ermutigt, ihre Meinung zu äußern."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut gemacht."	"Klassensprecher"	"Der hat im letzten Monat erfolgreich eine Spendenaktion für bedürftige Familien organisiert."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat einen großen Beitrag zur Klassenarbeit geleistet."	"Klassensprecher"	"Der hat die Aufgaben gut erledigt."	"Klassensprecher"
"426"	"ID_100426"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"den Müll in der Klasse aufgeräumt."	"Klassensprecher"	"eine schwierige Aufgabe erledigt."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Der hat gute Noten."	"Klassensprecher"	"Der hat in der Projektwoche außerordentliches Engagement gezeigt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat seine Klasse gut vorbereitet und die Aufgaben erledigt."	"Klassensprecher"
"427"	"ID_100427"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"ein Referat über den Klimawandel gehalten."	"Klassensprecher"	"Die Schulaufgaben korrekt abgegeben."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat seine Hausaufgaben gut gemacht."	"Klassensprecher"	"Der hat sich für die Belange seiner Mitschüler eingesetzt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat einen hervorragenden Vortrag gehalten."	"Klassensprecher"	"Der hat das Beste aus seiner Klasse gemacht."	"Klassensprecher"
"428"	"ID_100428"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"eine schwierige Aufgabe gelöst."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat die Aufgabe sehr gut erledigt."	"Klassensprecher"	"Der hat im letzten Monat erfolgreich die Organisation des Schulfestes übernommen."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat eine hervorragende Leistung gezeigt."	"Klassensprecher"	"Der hat einen wunderschönen Vortrag gehalten."	"Klassensprecher"
"429"	"ID_100429"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"eine tolle Idee gehabt."	"Klassensprecher"	"ein Referat über den Umweltschutz gehalten."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat seine Hausaufgaben gut gemacht."	"Klassensprecher"	"Der hat sich besonders für die Organisation des Schulfestes eingesetzt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat eine hervorragende Leistung gezeigt."	"Klassensprecher"	"Der hat eine ausgezeichnete Leistung bei der Präsentation gezeigt."	"Klassensprecher"
"430"	"ID_100430"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"Die Klasse sauber hinterlassen."	"Klassensprecher"	"Die Mathearbeit gut gemacht."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat die beste Note in Deutsch bekommen."	"Klassensprecher"	"Der hat erfolgreich eine Spendenaktion für die lokale Tierheim organisiert."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat für seine ausgezeichnete Arbeit bei der Vorbereitung auf die Prüfung gelobt."	"Klassensprecher"
"431"	"ID_100431"	"Die Klassenkasse gesammelt."	"Klassensprecher"	"eine schwierige Aufgabe gemeistert."	"Klassensprecher"	"die Klassenkasse gefüllt."	"Klassensprecher"	"Den Klassensprecher will der Lehrer loben. Der hat sich sehr gut in der letzten Woche geschlagen."	"Klassensprecher"	"Der hat fleißig gelernt."	"Klassensprecher"	"Der hat im Namen der Klasse erfolgreich neue Sportgeräte für den Schulhof beantragt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"	"Der hat eine hervorragende Leistung in der Klasse gezeigt."	"Klassensprecher"	"Der hat eine ausgezeichnete Vorlesung gehabt."	"Klassensprecher"
"432"	"ID_100432"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"eine Frage gestellt."	"Buchhalter"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Der hat die Unterlagen, die der Auszubildende für seine Arbeit benötigt."	"Buchhalter"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat das Buchführungssystem überprüfen müssen."	"Buchhalter"	"Der hat sich für die Buchhaltungszertifizierung beworben."	"Buchhalter"
"433"	"ID_100433"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Die Rechnungen zu kontrollieren."	"Buchhalter"	"eine Frage gestellt."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Den Buchhalter soll der Auszubildende sehen. Der hat den Lohn ausgezahlt."	"Buchhalter"	"Der hat die Unterlagen, die der Auszubildende für seine Aufgabe benötigt."	"Buchhalter"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat die Buchhaltungssoftware installiert."	"Buchhalter"	"Der hat nicht genug Erfahrung."	"Buchhalter"
"434"	"ID_100434"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Der hat eine Frage gestellt."	"Buchhalter"	"Der hat sich im Büro verletzt."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Der hat das Büro verlassen."	"Buchhalter"	"Der hat die Unterlagen, die der Auszubildende für seine Aufgaben benötigt."	"Buchhalter"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat das Buchführungssystem überprüfen müssen."	"Buchhalter"	"Der hat keine Erfahrung im Buchhaltungswesen."	"Buchhalter"
"435"	"ID_100435"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Der hat ein Praktikum in der Firma begonnen."	"Buchhalter"	"Der hat ein Praktikum im Büro begonnen."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Den Buchhalter soll der Auszubildende sehen. Der hat eine neue Software installiert."	"Buchhalter"	"Der hat gerade eine wichtige Frage zur Buchführung."	"Auszubildende"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat einen neuen Rechnungseingang erstellt."	"Buchhalter"	"Der hat eine schwere Verletzung am Bein."	"Buchhalter"
"436"	"ID_100436"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"eine Rechnung gemacht."	"Buchhalter"	"ein Problem mit der Buchhaltung."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Der hat das Geld veruntreut."	"Buchhalter"	"Der hat gerade eine Frage zu einer komplexen Abrechnung."	"Auszubildende"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat einen neuen Computer gekauft."	"Buchhalter"	"Der hat die Buchhaltungsunterlagen überprüft."	"Buchhalter"
"437"	"ID_100437"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Der hat eine wichtige Präsentation vorbereitet."	"Buchhalter"	"Der hat das Rechnungswesen verstanden."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Den Buchhalter soll der Auszubildende sehen. Der hat seine Arbeitsaufgaben erledigt."	"Ausbilder"	"Der hat gerade eine wichtige Frage zu den Jahresabschlussbuchungen."	"Auszubildende"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat einen neuen Buchhaltungstermin."	"Buchhalter"	"Der hat mit der Buchhaltung vertraut."	"Buchhalter"
"438"	"ID_100438"	"Der hat ein Praktikum begonnen."	"Buchhalter"	"Der hat eine Frage gestellt."	"Buchhalter"	"Die Akten sortiert."	"Buchhalter"	"Der hat die Zahlen falsch addiert."	"Buchhalter"	"Den Buchhalter soll der Auszubildende sehen. Der hat schon den Lohn ausgezahlt."	"Buchhalter"	"Der hat die Unterlagen, die der Auszubildende für seine Aufgabe benötigt."	"Buchhalter"	"Der hat einen neuen Buchhaltungsprozess entwickelt."	"Buchhalter"	"Der hat einen neuen Rechnungsbogen."	"Buchhalter"	"Der hat einen neuen Auftrag erhalten."	"Buchhalter"
"439"	"ID_100439"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist in sein Zimmer eingetreten."	"Besucher"	"Dieser ist in sein Zimmer gestürmt."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm"	"Besucher"	"Dieser ist gerade in das dunkle Wohnzimmer getreten."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist in einem Horrorfilm erschrecken."	"Besucher"
"440"	"ID_100440"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist gerade in das Haus eingetreten."	"Besucher"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Abiturient"	"Besucher"	"Dieser ist gerade um die Ecke gegangen."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgeist."	"Besucher"	"Dieser ist in einem Kostüm gekleidet."	"Besucher"
"441"	"ID_100441"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist gerade in das Zimmer des Abiturienten getreten."	"Besucher"	"Dieser ist durch das Fenster des Klassenzimmers eingestiegen."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist sein Bruder."	"Besucher"	"Dieser ist gerade in den dunklen Keller hinabgestiegen."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"
"442"	"ID_100442"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Ein Freund des Abiturienten."	"Besucher"	"Dieser ist gerade in den dunklen Keller hinabgestiegen."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Schreckgespenst"	"Dieser ist in einem Schreckensmaskenkostüm gekleidet."	"Besucher"
"443"	"ID_100443"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist in den Raum getreten."	"Besucher"	"Dieser ist vom Wachmann überrascht worden."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist sein bester Freund."	"Freund"	"Dieser ist gerade ahnungslos in das Zimmer getreten."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Freund des Abiturienten."	"Besucher"	"Dieser ist ein Fan von Horrorfilmen."	"Besucher"
"444"	"ID_100444"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist von einem UFO entführt worden."	"Besucher"	"Dieser ist zu spät gekommen."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	""	""	"Dieser ist gerade durch die Haustür getreten."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckensaktion."	"Schreckensaktion"	"Dieser ist zuvor in der Schule gewesen."	"Besucher"
"445"	"ID_100445"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Dieser ist von einem Auto angefahren worden."	"Besucher"	"Dieser ist in das Zimmer des Abiturienten eingetreten."	"Besucher"	"Den Besucher will der Abiturient erschrecken. Dieser ist ein Freund von ihm."	"Besucher"	"Anerkennung suchend."	"Besucher"	"Dieser ist gerade in den Raum getreten und bemerkt nichts von dem Hinterhalt."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Schreckgespenst."	"Besucher"	"Dieser ist ein Freund des Abiturienten."	"Besucher"
